Lp.;Nazwa łacińska;Nazwa polska;Występowanie w środowisku przyrodniczym w Polsce;Kategoria stopnia inwazyjności;Kategoria stopnia rozprzestrzenienia;Mapa występowania w Geoserwisie GDOŚ
56.;Lagarosiphon major;Lagarosyfon wielki;NIE;średnio inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
57.;Lithobates (Rana) catesbeianus;Żaba rycząca;NIE;średnio inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
58.;Ludwigia grandiflora;;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
59.;Ludwigia peploides;;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
60.;Lupinus polyphyllus;Łubin trwały;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=56
61.;Lysichiton americanus;Tulejnik amerykański;NIE;nieinwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
62.;Microstegium vimineum;;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
63.;Mimulus guttatus;Kroplik żółty;TAK;nieinwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=53
64.;Mnemiopsis leidyi;;TAK;mało inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=11
65.;Muntiacus reevesi;Muntżak;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
66.;Myocastor coypus;Nutria;TAK;średnio inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=70
67.;Myriophyllum aquaticum;Wywłócznik brazylijski;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
68.;Myriophyllum heterophyllum;Wywłócznik różnolistny;NIE;średnio inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
69.;Nasua nasua;Koati;TAK;średnio inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=47
70.;Neogobius fluviatilis;Babka szczupła;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=20
71.;Neogobius gymnotrachelus;Babka łysa;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=18
72.;Neogobius melanostomus;Babka bycza;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=17
